"Actions","Tindakan"
"An error occurred while marking notification as read.","Terjadi kesalahan saat menandai pemberitahuan sebagai terbaca."
"An error occurred while marking the messages as read.","Terjadi kesalahan saat menandai pesan sebagai terbaca."
"An error occurred while removing messages.","Terjadi kesalahan ketika menghapus pesan."
"An error occurred while removing the message.","Terjadi kesalahan ketika menghapus pesan."
"Are you sure?","Apa anda yakin?"
"Date Added","Tanggal ditambahkan"
"Last Update","Terakhir Diperbarui"
"Mark as Read","Tandai sebagai Terbaca"
"Mark as read","Tandai sebagai Terbaca"
"Message","Pesan"
"Messages Inbox","Kotak masuk Pesan"
"Notifications","pemberitahuan"
"Please select messages.","Mohon pilih pesan."
"Read Details","Baca Rincian"
"Remove","Hapuskan"
"Severity","Drastis"
"Show List","Tampilkan Daftar"
"Show Toolbar","Tampilkan Toolbar"
"The message has been marked as read.","Pesan telah ditandai sebagai terbaca."
"The message has been removed.","Pesan telah dihapuskan."
"Total of %d record(s) have been marked as read.","Total dari %d arsip(s) telah ditandai sebagai terbaca."
"Total of %d record(s) have been removed.","Total dari %d arsip(s) telah dihapuskan."
"Unable to proceed. Please, try again.","Tidak dapt memproses. Silahkan, coba lagi."
"Update Frequency","Frekuensi Diperbarui"
"Use HTTPS to Get Feed","Gunakan HTTPS untuk Mendapatkan Feed"
"Wrong message type","Kesalahan pada tipe pesan"
"critical","critical"
"major","besar"
"minor","kecil"
"notice","pemberitahuan"
