"--Please Select--","--Silahkan Pilih--"
"API Login ID","ID Masuk API"
"Accepted Currency","Mata Uang yang Diterima"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Jumlah dari %s disetujui oleh payment gateway. ID Transaksi: ""%s""."
"Authorize.net Direct Post","Authorize.net Post Langsung"
"Card Verification Number","Nomer Verifikasi Kartu"
"Card Verification Number Visual Reference","Nomer Verifikasi Kartu Refrensi Visual"
"Close","Tutup"
"Credit Card Information","Konfirmasi Kartu Credit"
"Credit Card Number","Nomer Kartu Credit"
"Credit Card Type","Tipe Kartu Credit"
"Credit Card Types","Tipe-tipe Kartu Kredit"
"Credit Card Verification","Verifikasi Kartu Credit"
"Debug","Debug"
"Email Customer","Email Pelanggan"
"Enabled","Diaktifkan"
"Expiration Date","Tanggal Kadaluarsa"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maksimal Total Pemesanan"
"Merchant MD5","Penjual MD5"
"Merchant's Email","Email Penjual"
"Minimum Order Total","Minimal Total Pemesanan"
"New Order Status","Status Pemesanan Baru"
"Order saving error: %s","Kesalahan pada menyimpan pesanan: %s"
"Payment Action","Tindakan Pembayaran"
"Payment authorization error.","Kesalahan pada otorisasi pembayaran."
"Payment authorization error. Transacion id is empty.","Kesalahan pada otorisasi pembayaran. Id transaksi kosong."
"Payment error. Order was not found.","Kesalahan pembayaran. Pesanan tidak ditemukan."
"Payment error. Paid amount doesn\'t match the order amount.","Kesalahan pembayaran. Jumlah pembayaran tidak cocok dengan jumlah pesanan."
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara yang Ditentukan"
"Please, choose payment method","Mohon, pilih metode pembayaran"
"Response hash validation failed. Transaction declined.","Kegagalan dalam respon validasi hash. Transaksi ditolak."
"Sort Order","Urutkan Pesanan"
"Test Mode","Mode Uji"
"The order has been created.","Pesanan telah berhasil dibuat."
"There was an error processing your order. Please contact us or try again later.","Terdapat kesalahan ketika memproses pesanan anda. Mohon kontak kami atau mencoba lagi nanti."
"Title","Judul"
"Transaction Key","Key Transaksi"
"What is this?","Apa ini?"
"You will be required to enter your payment details before you place an order.","Anda diwajibkan memasukan detail pembayaran sebelum anda memesan."
