"%1$s incl tax.","%1$s incl tax."
"* Required Fields","* Required Fields"
"-- Select --","-- Select --"
"Add New Option","Add New Option"
"Add Selection","Add Selection"
"As Low as","As Low as"
"As low as","As low as"
"Bundle Items","Bundle Items"
"Bundle Product","Bundle Product"
"Buy %1$s","Beli+ %1$s"
"Buy %1$s for","Beli %1$s untuk"
"Buy %1$s for %2$s","Beli %1$s untuk %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Beli %1$s Untuk %2$s (%3$s termasuk pajak) masing-masing"
"Buy %1$s for %2$s each","Beli %1$s untuk %2$s masing-masing"
"Buy %1$s with %2$s discount each","Beli %1$s dengan %2$s masing-masing diskon"
"Catalog Product View (Bundle)","Katalog Tinjauan Produk (Bundle)"
"Checkbox","Kotak Centang"
"Choose a selection...","Pilih sebuah Pilihan..."
"Click for price","Klik untuk harga"
"Close","Tutup"
"Default","Kondisi awal / Standar"
"Default Qty","Kondisi awal Qty"
"Default Title","Standar Judul"
"Drop-down","Drop-down"
"Dynamic","Dinamis"
"Excl. Tax","Tidak Termasuk Pajak"
"Excl. Tax:","Tidak Termasuk Pajak:"
"Fixed","Fixed"
"From","Dari"
"From:","Dari:"
"Gift Message","Pesan Hadiah"
"Incl. Tax","Termasuk Pajak"
"Incl. Tax:","Termasuk Pajak:"
"Input Type","Tipe Masukan"
"Is Required","Wajib"
"Message:","Pesan:"
"Multiple Select","Beberapa Pilihan"
"N/A","Tidak Tersedia"
"No options of this product are available.","Tidak ada opsi tersedia untuk produk ini."
"None","Tidak ada"
"Percent","Persen"
"Percent Discount","Diskon Persen"
"Please Select Products to Add","Silahkan Pilih Produk untuk Ditambahkan"
"Please enter a number greater 0 in this field.","Silahkan masukan nomer yang lebih besar dari 0 di field ini."
"Please enter search conditions to view products.","Silahkan masukan kondisi pencarian untuk melihat produk."
"Please select options for product.","Pilih opsi untuk produk."
"Please specify product option(s).","Silahkan tentukan opsi produk(s)."
"Position","Posisi"
"Price Range","Jangkauan Harga"
"Price Type","Tipe Harga"
"Price as configured","Harga sesuai konfigurasi"
"Qty:","Qty:"
"Radio Buttons","Tombol Radio"
"Required options are not selected.","Opsi wajib tidak dipilih."
"Selected required options are not available.","Opsi wajib tidak tersedia."
"Separately","Terpisah"
"Ship Bundle Items","Muat Bundle Item"
"Shipment","Muatan"
"Store View Title","Judul Tampilan Toko"
"There is no defined renderer for ""%s"" option type.","Tidak ada render ditetapkan untuk ""%s"" tipe opsi."
"This product is also part of bundle(s)","Produk ini merupakan bagian dari bundle(s)"
"To","kepada"
"To:","Kepada:"
"Together","Bersama"
"Total incl. Tax: %1$s","Total termasuk Pajak: %1$s"
"Use Default Value","Gunakan Nilai Default"
"User Defined Qty","Ditetapkan Pengguna Qty"
"and","dan"
"each","setiap"
"save","simpan"
