"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>: Captcha sesnsitif terhadap besar kecil huruf."
"After number of attempts to login","Setelah beberapa percobaan masuk"
"Always","Selalu"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Waktu Habis (menit)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA untuk form ""Pembuatan pengguna"" dan ""Lupa kata sandi"" selalu dalam keadaan aktif ketika dipilih"
"Case Sensitive","Sensitif terhadap besar kecil huruf"
"Displaying Mode","Menampilkan Mode"
"Enable CAPTCHA in Admin","Nyalakan CAPTCHA di Admin"
"Enable CAPTCHA on Frontend","Nyalakan CAPTCHA pada Frontend"
"Font","Jenis Huruf"
"Forms","Forms"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jika 0 ditentukan, CAPTCHA pada form Masuk akan selalu tersedia."
"Incorrect CAPTCHA.","CAPTCHA Tidak valid."
"Number of Symbols","Jumlah Simbol"
"Number of Unsuccessful Attempts to Login","Jumlah kegagalan percobaan Masuk"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Mohon tentukan paling banyak 8 simbol. Jarak yang diizinkan (e.g. 3-5)"
"Please type the letters below","Silahkan ketik huruf di bawah ini"
"Please type the letters from the image:","Silahkan ketik huruf dari gambar:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Mohon hanya menggunakan huruf (a-z or A-Z) atau angka (0-9) pada field ini. Tidak diperbolehkan ada spasi atau karakter lain.<br />Karakter tampak serupa (e.g. ""i"", ""l"", ""1"") Mengurangi kemungkinan pengenalan tepat oleh pelanggan."
"Reload captcha","Muat ulang captcha"
"Symbols Used in CAPTCHA","Simbol yang digunakan dalam CAPTCHA"
