"Alert Email Sender","Pemberitahuan Pengirim Email"
"Alert subscription has been saved.","Pemberitahuan langganan telah disimpan."
"Allow Alert When Product Comes Back in Stock","Izinkan Pemberitahuan Saat Produk Kembali Berada dalam Persediaan"
"Allow Alert When Product Price Changes","Izinkan Pemberitahuan Saat harga Produk Berubah"
"Click here not to receive alerts for this product","Klik di sini untuk tidak menerima pemberitahuan produk ini"
"Error Email Recipient","Kesalahan Penerima Email"
"Error Email Sender","Kesalahan Pengirim Email"
"Error Email Template","Kesalahan Template Email"
"Frequency","Frekuensi"
"Not enough parameters.","Parameter Tidak cukup."
"Price Alert Email Template","Template Email Peringatan Harga"
"Price:","Harga:"
"Product Alerts","Peringatan Produk"
"Product Alerts Run Settings","Peringatan Produk Jalankan Pengaturan"
"Product alerts Cron error","Peringatan produk kesalahan pada Cron"
"Product price alert","Peringatan harga produk"
"Product stock alert","Peringatan stok produk"
"Regular Price:","Harga Normal:"
"Sign up for price alert","Mendaftar untuk peringatan harga"
"Sign up to get notified when this product is back in stock","Mendaftar untuk mendapatkan pemberitahuan saat produk ini kembali tersedia"
"Special price:","Harga Spesial:"
"Start Time","Waktu Mulai"
"Stock Alert Email Template","Template Email Peringatan Stok"
"The alert subscription has been deleted.","Peringatan langganan telah dihapus."
"The alert subscription has been saved.","Peringatan langganan telah disimpan."
"The product is not found.","Produk tidak ditemukan."
"The product was not found.","Produk tidak ditemukan."
"Unable to update the alert subscription.","Tidak dapat memperbarui peringatan langganan."
"Unsubscribe from all price alerts","Berhenti berlangganan semua peringatan harga"
"Unsubscribe from all stock alerts","Berhenti berlangganan semua peringatan stok"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Anda menerima pemberitahuan ini karena Anda berlangganan untuk menerima peringatan saat produk berikut kembali tersedia:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Anda menerima pemberitahuan ini karena Anda berlangganan untuk menerima peringatan saat harga produk berikut berubah:"
"You will no longer receive price alerts for this product.","Anda tidak akan lagi menerima peringatan harga untuk produk ini."
"You will no longer receive stock alerts for this product.","Anda tidak akan lagi menerima peringatan stok untuk produk ini."
"You will no longer receive stock alerts.","Anda tidak akan lagi menerima peringatan stok."
