"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Aturan Harga Troli berdasarkan ""%s"" atribut telah dimatikan."
"%s Coupon(s) have been generated","%s (Beberapa)Kupon telah dihasilkan"
"Actions","Tindakan"
"Active","Aktif"
"Add New Rule","Tambahkan Aturan Baru"
"Alphabetical","Alfabetis"
"Alfanumerik","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","Terjadi kesalahan saat menghasilkan kupon. Harap tinjau log dan coba lagi."
"Apply","Terapkan"
"Apply To","Terapkan Ke"
"Apply the rule only if the following conditions are met (leave blank for all products)","Terapkan aturan hanya jika kondisi berikut terpenuhi (biarkan kosong untuk semua produk)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Terapkan peraturan hanya untuk item troli yang sesuai dengan kondisi berikut (biarkan kosong untuk semua produk)"
"Apply the rule to cart items matching the following conditions","Terapkan aturan ke item troli yang sesuai dengan kondisi berikut"
"Apply to Shipping Amount","Terapkan untuk Jumlah Pengiriman"
"Are you sure you want to delete the selected coupon(s)?","Yakin ingin menghapus (beberapa)kupon yang dipilih?"
"Auto","Otomatis"
"Auto Generated Specific Coupon Codes","Kode Kupon yang ditentukan Otomatis Terhasilkan"
"Buy X get Y free (discount amount is Y)","Beli X dapat Y gratis (jumlah diskon adalah Y)"
"By Fixed value","Dengan Nilai Tetap"
"By Percentage","Berdasarkan Persentase"
"Can\'t acquire coupon.","Tidak dapat memperoleh kupon."
"Cart Attribute","Atribut Troli"
"Catalog","Katalog"
"Code Format","Format Kode"
"Code Length","Panjang Kode"
"Code Prefix","Kode Awalan"
"Code Suffix","Kode Akhiran"
"Conditions","Kondisi"
"Conditions combination","Kombinasi kondisi"
"Coupon","Kupon"
"Coupon Code","Kudo Kupon"
"Coupon Qty","Qty Kupon"
"Coupon with the same code","Kupon dengan kode sama"
"Coupons Information","Informasi Kupon"
"Created On","Dibuat Pada"
"Customer Groups","Kelompok Pelanggan"
"Dash Every X Characters","Tanda pisah Setiap X Karakter"
"Date Expire","Tanggal Kadaluarsa"
"Date Start","Tanggal Mulai"
"Default Label","Label Standar"
"Default Rule Label for All Store Views","Label Aturan Standar untuk Semua Tampilan Toko"
"Description","Deskripsi"
"Discount Amount","Jumlah Diskon"
"Discount Qty Step (Buy X)","Langkah Qty Diskon (Beli X)"
"Edit Rule","Edit Aturan"
"Edit Rule '%s'","Edit Aturan '%s'"
"Excluding prefix, suffix and separators.","Tidak termasuk awalan, akhiran dan pemisah."
"FOUND","DITEMUKAN"
"Fixed amount discount","Diskon jumlah tetap"
"Fixed amount discount for whole cart","Diskon jumlah tetap untuk seluruh troli"
"For matching items only","Hanya untuk item yang cocok"
"For shipment with matching items","Untuk pengiriman dengan item yang sesuai"
"Free Shipping","Bebas Biaya Kirim"
"From Date","Dari Tanggal"
"General Information","Informasi Umum"
"Generate","Hasilkan"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Jika %s %s %s Untuk subseleksi item dalam pencocokan troli %s dari kondisi ini:"
"If an item is %s in the cart with %s of these conditions true:","Jika item adalah %s dalam keranjang dengan %s dari kondisi ini benar:"
"If empty no separation.","Jika kosong tidak ada pemisahan."
"If you select and save the rule you will be able to generate multiple coupon codes.","Jika Anda memilih dan menyimpan aturan, Anda akan dapat menghasilkan beberapa kode kupon."
"Inactive","Tidak aktif"
"Item totals are not set for rule.","Total item tidak ditetapkan untuk aturan."
"Labels","Labels"
"Manage Coupon Codes","Kelola Kode Kupon"
"Maximum Qty Discount is Applied To","Qty Maksimum Diskon Digunakan Ke"
"NOT FOUND","RIDAK DITEMUKAN"
"NOT LOGGED IN","TIDAK MASUK"
"New Rule","Aturan Baru"
"No","Tidak"
"No Coupon","Tidak ada Kupon"
"Not valid data provided","Data tidak valid disediakan"
"Number of Uses","Jumlah Penggunaan"
"Numeric","Numerik"
"Payment Method","Metode Pembayaran"
"Percent of product price discount","Persen dari diskon produk"
"Period","Periode"
"Price in cart","Harga di troli"
"Priority","prioritas"
"Product attribute combination","Kombinasi atribut produk"
"Products subselection","Subseleksi produk"
"Promotions","Promosi"
"Public In RSS Feed","Publik di RSS Feed"
"Quantity in cart","Kuantitas dalam troli"
"Row total in cart","Jumlah baris dalam troli"
"Rule Information","Informasi Aturan"
"Rule Name","Nama Aturan"
"Rule is not defined","Aturan tidak ditetapkan"
"Sales Discount Amount","Jumlah Diskon Penjualan"
"Sales Subtotal Amount","Jumlah Subtotal Penjualan"
"Sales Total Amount","Jumlah Penjualan Total"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Shipping Country","Negara Pengiriman"
"Shipping Method","Metode Pengiriman"
"Shipping Postcode","Kode pos Pengiriman"
"Shipping Region","Wilayah Pengiriman"
"Shipping State/Province","Pengiriman Negara/Provinsi"
"Shopping Cart Price Rule","Aturan Harga Troli"
"Shopping Cart Price Rules","Aturan Harga Troli"
"Special Price","Harga Spesial"
"Specific Coupon","Kupon Tertentu"
"Status","Status"
"Stop Further Rules Processing","Hentikan Pemrosesan Aturan Lebih Lanjut"
"Store View Specific Labels","Tampilan Toko Label Tertentu"
"Subtotal","Subtotal"
"Subtotal Amount","Jumlah Subtotal"
"The rule has been deleted.","Aturan telah dihapus."
"The rule has been saved.","Aturan telah disimpan."
"This rule no longer exists.","Aturan ini tidak lagi ada."
"Times Used","Waktu Digunakan"
"To Date","Sampai Tanggal"
"To Fixed Value","Untuk Nilai Tetap"
"To Percentage","Untuk Presentase"
"Total","Total"
"Total Amount","Jumlah Total"
"Total Items Quantity","Kuantitas Jumlah Item"
"Total Weight","Berat Total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Tidak dapat membuat Permintaan Qty Kupon. Harap periksa pengaturan dan coba lagi."
"Unable to find a rule to delete.","Tidak dapat menemukan aturan yang akan dihapus."
"Update prices using the following information","Perbarui harga menggunakan informasi berikut"
"Update product's %s %s: %s","Perbarui produk %s %s: %s"
"Update the Product","Perbarui Produk"
"Use Auto Generation","Gunakan Penghasilan Otomatis"
"Used","Digunakan"
"Uses per Coupon","Penggunaan per Kupon"
"Uses per Customer","Penggunaan per Pelanggan"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Aturan yang Salah Ditentukan."
"Yes","Ya"
"total amount","jumlah total"
"total quantity","kuantitas total"
