"All Websites","Seluruh Website"
"Apply Discounts To FPT","Gunakan Diskon Ke FPT"
"Display Prices In Emails","Tampilkan Harga Di Email"
"Display Prices In Product Lists","Menampilkan Harga Dalam Daftar Produk"
"Display Prices In Sales Modules","Menampilkan Harga Dalam Modul Penjualan"
"Display Prices On Product View Page","Menampilkan Harga Pada Tampilan Produk"
"Enable FPT","Nyalakan FPT"
"Excluding FPT","Tidak termasuk FPT"
"Excluding FPT, FPT description, final price","Tidak termasuk FPT, deskripsi FPT, harga akhir"
"FPT Tax Configuration","Konfigurasi Pajak FPT"
"Fixed Product Tax","Pajak Tetap Produk"
"Fixed Product Taxes","Pajak Tetap Produk"
"Include FPT In Subtotal","Termasuk FPT Pada Subtotal"
"Including FPT and FPT description","Termasuk FPT dan deskripsi FPT"
"Including FPT and FPT description [incl. FPT VAT]","Termasuk FPT dan deskripsi FPT [termasul FPT VAT]"
"Including FPT only","Hanya termasuk FPT"
"Loaded and Displayed with Tax","Dimuat dan Ditampilkan dengan Pajak"
"Not Taxed","Tidak dikenakan pajak"
"Taxed","Pajak"
"Total","Total"
"Total Incl. Tax","Total Termasuk Pajak"
"Total excl. tax","Total tidak termasuk pajak"
"Total incl. tax","Total termasuk pajak"
