"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Seluruh Kartu Kredit / Visa, Mastercard, AMEX, JCB, Diners (didukung oleh Moneybookers) - Internasional"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (didukung oleh Moneybookers) - Italia"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (didukung oleh Moneybookers) - Prancis"
"Customer ID","ID Pelanggan"
"Dankort (powered by Moneybookers) - Denmark","Dankort (didukung oleh Moneybookers) - Denmark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (didukung oleh Moneybookers) - Austria"
"Enabled","Dinyalakan"
"Find out more about Online Bank Transfer","Cari tahu lebih lanjut tentang Transfer Bank Secara Online"
"Giropay (powered by Moneybookers) - Germany","Giropay (didukung oleh Moneybookers) - Jerman"
"Laser (powered by Moneybookers) - Ireland","Laser (didukung oleh Moneybookers) - Ireland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (didukung oleh Moneybookers) - Jerman"
"Loading secure payment page (SSL)","Memuat halaman pembayaran yang aman (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (didukung oleh Moneybookers) - Inggris, Austria, Spanyol"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Pengaturan Moneybookers"
"Moneybookers Transaction ID: %s","Moneybookers ID Transaksi: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Informasi lebih lanjut tentang Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (didukung oleh Moneybookers) - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (didukung oleh Moneybookers) - Swedia"
"Online Bank Transfer (powered by Moneybookers)","Transfer Bank Online (didukung oleh Moneybookers)"
"Order ID","ID Pesanan"
"POLi (powered by Moneybookers) - Australia","POLi (didukung oleh Moneybookers) - Australia"
"Payment failed.","Pembayaran gagal."
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara Tertentu"
"Payment has not been processed yet.","Pembayaran belum diproses."
"Payment was canceled.","Pembayaran telah dibatalkan."
"Pending bank transfer created.","Penundaan Transfer bank dibuat."
"Please pay your order now","Harap membayar pesanan Anda sekarang"
"Postepay (powered by Moneybookers) - Italy","Postepay (didukung oleh Moneybookers) - Italia"
"Powered by Moneybookers","didukung oleh Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (didukung oleh Moneybookers) - Polandia"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (didukung oleh Moneybookers) - Jerman"
"Sort Order","Urutan pesanan"
"The amount has been authorized and captured by Moneybookers.","Jumlah tersebut telah diotorisasi dan ditangkap oleh Moneybookers."
"The customer was redirected to Moneybookers.","Pelanggan dialihkan ke Moneybookers."
"The order has been canceled.","Pesanan telah dibatalkan."
"Title","Judul"
"You will be redirected to our secure payment page when you place an order.","Anda akan diarahkan ke halaman pembayaran yang aman saat Anda melakukan pemesanan."
"eNETS (powered by Moneybookers) - Singapore","eNETS (didukung oleh Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (didukung oleh Moneybookers) - Belanda"
